Company,Company_Name,Scenario,Current_Price,DCF_Value,Upside_Downside_%,Enterprise_Value_Cr,WACC_%,Terminal_Value_Cr,Recommendation
TCS,Tata Consultancy Services,Conservative,3022.3,4236.8343346390675,40.18576364487534,1468509.6622724147,6.735863786168074,1720590.8194271626,Strong Buy
TCS,Tata Consultancy Services,Base_Case,3022.3,5348.432146724345,76.96562706297672,1870685.7506848683,6.755751996605048,2254806.6461301763,Strong Buy
TCS,Tata Consultancy Services,Aggressive,3022.3,6903.327785059456,128.41305578729626,2433246.992634511,6.775640207042024,3010867.879246734,Strong Buy
INFY,Infosys,Conservative,1447.7,1219.6547918141239,-15.752242051935905,467763.60051958705,10.794316321810724,559207.7267821463,Sell
INFY,Infosys,Base_Case,1447.7,1395.9624512795344,-3.573775555741221,541001.8022615185,11.152398038792438,672242.039280573,Hold
INFY,Infosys,Aggressive,1447.7,1596.095915964096,10.250460452033995,624137.2434914855,11.510479755774151,804339.2225473182,Buy
HCLTECH,HCL Technologies,Conservative,1489.8,1347.9503647800739,-9.52138778493261,340391.9339648341,10.376245290884025,407211.1253286746,Hold
HCLTECH,HCL Technologies,Base_Case,1489.8,1564.3552301410107,5.0043784495241495,399102.57393725624,10.69949068168796,496066.3219960435,Hold
HCLTECH,HCL Technologies,Aggressive,1489.8,1813.7584552308901,21.745097008383006,466765.66890414053,11.022736072491893,601356.1262825927,Strong Buy
WIPRO,Wipro,Conservative,246.81,348.2804333549722,41.112772316750636,163495.44969126952,11.575229788721265,191261.07307950134,Strong Buy
WIPRO,Wipro,Base_Case,246.81,370.8654302096343,50.26353478774537,175257.71605317754,11.998349906615287,211840.6464253877,Strong Buy
WIPRO,Wipro,Aggressive,246.81,394.81713321286526,59.968045546317114,187731.76297726022,12.421470024509313,234288.63179467228,Strong Buy
LTIM,LTIMindtree,Conservative,5108.0,3558.039676065368,-30.34378081312905,98222.77837914143,12.158881334887875,119314.77324891016,Strong Sell
LTIM,LTIMindtree,Base_Case,5108.0,4119.891746703311,-19.34432758999001,114909.78487708833,12.630731114576868,145961.77961181616,Sell
LTIM,LTIMindtree,Aggressive,5108.0,4757.0816960122975,-6.869974627793707,133834.32637156523,13.102580894265856,177272.6115657706,Hold
TECHM,Tech Mahindra,Conservative,1486.7,946.4000028559309,-36.342234286948894,84352.56027959564,12.760005374016632,99587.42596497822,Strong Sell
TECHM,Tech Mahindra,Base_Case,1486.7,1014.0430394805203,-31.792356260138543,90974.81356514295,13.281917553628208,111426.54393007777,Strong Sell
TECHM,Tech Mahindra,Aggressive,1486.7,1085.591214369084,-26.97980666112303,97979.37988673332,13.803829733239787,124377.39150291607,Strong Sell
